code,name,concepts
002023,海特高新,航天航空;通用航空;大飞机;军民融合;低空经济;半导体概念;飞行汽车(eVTOL);碳基材料;国产芯片;职业教育;卫星互联网;第三代半导体;毫米波概念;WiFi;西部大开发;融资融券;氮化镓;5G概念;成渝特区;深股通;富时罗素;碳化硅;标准普尔
688685,迈信林,航天航空;军民融合;军工;专精特新;DeepSeek概念;融资融券;算力概念;沪股通;光通信模块
688237,超卓航科,航天航空;QFII重仓;专精特新;融资融券
603261,*ST立航,航天航空;ST股;无人机;低空经济;军工;机器人概念;专精特新;机构重仓;西部大开发;可控核聚变
600765,中航重机,航天航空;无人机;大飞机;军民融合;低空经济;航母概念;军工;3D打印;商业航天;西部大开发;融资融券;央国企改革;沪股通;标准普尔;MSCI中国;中证500;核能核电;风能;上证380;新能源;昨日高振幅
300900,广联航空,航天航空;人形机器人;无人机;大飞机;军民融合;低空经济;军工;飞行汽车(eVTOL);专精特新;创业板综;商业航天;转债标的;融资融券;深股通
600316,洪都航空,航天航空;通用航空;大飞机;低空经济;航母概念;军工;微利股;融资融券;央国企改革;沪股通;中证500;上证380
920116,星图测控,航天航空;北斗导航;专精特新;商业航天;百元股;融资融券
002625,光启技术,航天航空;人形机器人;军民融合;低空经济;军工;智能穿戴;PEEK材料概念;深圳特区;人工智能;机构重仓;商业航天;股权激励;融资融券;深股通;深证100R;新材料;富时罗素;HS300_;标准普尔;MSCI中国;深成500
600879,航天电子,航天航空;空间站概念;无人机;传感器;军民融合;低空经济;北斗导航;军工;国产芯片;卫星互联网;商业航天;量子科技;融资融券;央国企改革;沪股通;富时罗素;标准普尔;MSCI中国;中证500;上证380;特高压
600118,中国卫星,航天航空;空间站概念;时空大数据;无人机;大飞机;军民融合;低空经济;北斗导航;军工;微利股;国产芯片;卫星互联网;商业航天;融资融券;央国企改革;沪股通;中字头;富时罗素;一带一路;标准普尔;MSCI中国;中证500;上证380;中特估
300159,*ST新研,航天航空;ST股;无人机;大飞机;低空经济;军工;乡村振兴;商业航天;西部大开发;央国企改革;长期破净;富时罗素;核能核电;可控核聚变
688523,航天环宇,航天航空;无人机;大飞机;军民融合;军工;专精特新;卫星互联网;商业航天;融资融券;沪股通;2025中报预增
300775,三角防务,航天航空;大飞机;军民融合;军工;专精特新;创业板综;机构重仓;商业航天;西部大开发;转债标的;融资融券;深股通;富时罗素;深成500
688287,*ST观典,航天航空;ST股;国家安防;无人机;军民融合;低空经济;军工;智慧城市;专精特新;人工智能;商业航天;大数据
002510,天汽模,通用航空;华为汽车;大飞机;军民融合;低空经济;军工;并购重组概念;小米汽车;特斯拉;新能源车;飞行汽车(eVTOL);股权转让;昨日触板;京津冀;央国企改革;昨日炸板;深股通;2025中报预减;昨日高振幅;昨日高换手
300397,天和防务,通用航空;国家安防;车联网(车路云);军民融合;低空经济;军工;机器人概念;国产芯片;体育产业;人工智能;创业板综;华为概念;量子科技;西部大开发;融资融券;海工装备;数据中心;5G概念;深股通;富时罗素;海洋经济
002111,威海广泰,通用航空;无人机;大飞机;军民融合;低空经济;军工;无人驾驶;机器人概念;医疗器械概念;换电概念;机构重仓;转债标的;深股通;一带一路
600340,华夏幸福,通用航空;低空经济;PPP模式;雄安新区;融资融券;京津冀;电商概念;沪股通;富时罗素;标准普尔;低价股
002542,中化岩土,通用航空;低空经济;新型城镇化;工程建设;国产芯片;影视概念;央国企改革;数据中心;深股通;互联金融;云计算;参股保险;富时罗素;标准普尔
002189,中光学,通用航空;全息技术;国家安防;车联网(车路云);军民融合;3D摄像头;军工;无人驾驶;荣耀概念;AI眼镜;超清视频;虚拟现实;3D打印;华为概念;增强现实;激光雷达;融资融券;央国企改革;深股通;中字头
002520,日发精机,通用航空;机器人执行器;减速器;大飞机;低空经济;机器人概念;工业母机;融资融券;深股通;昨日涨停_含一字;一带一路;昨日涨停;昨日首板;最近多板;昨日高振幅;昨日高换手;东方财富热股
300135,宝利国际,通用航空;低空经济;创业板综;中俄贸易概念;央国企改革;一带一路
300542,新晨科技,通用航空;军民融合;低空经济;网络安全;鸿蒙概念;信创;NFT概念;跨境支付;国产软件;创业板综;华为概念;区块链;元宇宙概念;海南自贸;商业航天;大数据;股权激励;财税数字化;百度概念;深股通;一带一路;Web3.0
002097,山河智能,通用航空;无人机;军民融合;低空经济;军工;飞行汽车(eVTOL);工业互联;海南自贸;锂电池;工程机械概念;融资融券;央国企改革;深股通;富时罗素;一带一路;标准普尔;雅下水电概念
002253,*ST智胜,通用航空;ST股;国家安防;车联网(车路云);军民融合;低空经济;军工;生物识别;网络安全;智慧城市;虚拟现实;人工智能;华为概念;元宇宙概念;华为昇腾;增强现实;西部大开发;云计算
000099,中信海直,通用航空;无人机;低空经济;航母概念;军工;飞行汽车(eVTOL);深圳特区;华为概念;粤港自贸;融资融券;央国企改革;深股通;中字头;深成500;风能
000571,新大洲A,通用航空;大飞机;海南自贸;反内卷概念
920508,殷图网联,通用航空;低空经济;机器人概念;人工智能;固态电池;融资融券;智能电网
601727,上海电气,通用航空;人形机器人;大飞机;并购重组概念;机器人概念;沪企改革;工业母机;燃料电池;新型工业化;装配建筑;固态电池;节能环保;融资融券;商汤概念;央国企改革;化债(AMC)概念;沪股通;充电桩;储能;富时罗素;氢能源;一带一路;标准普尔;MSCI中国;AH股;核能核电;风能;太阳能;可控核聚变;新能源;超超临界发电;钒电池
001696,宗申动力,通用航空;无人机;军民融合;低空经济;军工;机器人概念;新能源车;专精特新;交运设备;汽车一体化压铸;燃料电池;地摊经济;西部大开发;融资融券;无线充电;成渝特区;深股通;2025中报预增;储能;发电机概念;富时罗素;氢能源;标准普尔;2025三季报预增;深成500;中证500
002085,万丰奥威,通用航空;华为汽车;碳纤维;低空经济;特斯拉;新能源车;飞行汽车(eVTOL);汽车一体化压铸;商业航天;节能环保;融资融券;深股通;长江三角;富时罗素;标准普尔;MSCI中国;深成500;中证500
601021,春秋航空,通用航空;免税概念;机构重仓;跨境电商;融资融券;沪股通;富时罗素;HS300_;上证180_;标准普尔;证金持股;MSCI中国;周期股
601111,中国国航,通用航空;机构重仓;融资融券;央国企改革;沪股通;中字头;富时罗素;HS300_;上证180_;标准普尔;证金持股;MSCI中国;AH股;周期股
600115,中国东航,通用航空;大飞机;机构重仓;融资融券;进口博览;电商概念;央国企改革;沪股通;富时罗素;HS300_;标准普尔;证金持股;MSCI中国;AH股;周期股
002146,荣盛发展,通用航空;低空经济;PPP模式;机构重仓;海南自贸;雄安新区;融资融券;京津冀;深股通;长期破净;富时罗素;一带一路;标准普尔;破净股;低价股
002149,西部材料,通用航空;纳米银;航母概念;军工;燃料电池;参股新三板;商业航天;节能环保;西部大开发;融资融券;央国企改革;水利建设;5G概念;深股通;尾气治理;核能核电;超导概念;小金属概念;昨日高振幅;昨日高换手
603766,隆鑫通用,通用航空;无人机;新能源车;交运设备;机构重仓;地摊经济;西部大开发;融资融券;沪股通;充电桩;2025中报预增;发电机概念;富时罗素;户外露营;标准普尔;2025三季报预增;中证500
600990,四创电子,通用航空;国家安防;军民融合;低空经济;航母概念;北斗导航;军工;新能源车;融资融券;央国企改革;沪股通;富时罗素;标准普尔;可控核聚变
002984,森麒麟,通用航空;无人机;大飞机;低空经济;飞行汽车(eVTOL);人工智能;工业互联;大数据;转债标的;融资融券;深股通;云计算;一带一路;深成500;中证500
600029,南方航空,通用航空;免税概念;华为概念;机构重仓;参股银行;转债标的;融资融券;央国企改革;沪股通;富时罗素;HS300_;标准普尔;证金持股;MSCI中国;AH股;周期股
300449,汉邦高科,数字水印;知识产权;国家安防;微盘股;军工;智慧城市;NFT概念;创业板综;华为概念
300079,数码视讯,数字水印;知识产权;数据安全;星闪概念;无人机;数据确权;IPv6;网络安全;数字货币;ETC;华为海思;超清视频;虚拟现实;国产芯片;NFT概念;跨境支付;远程办公;人工智能;移动支付;创业板综;华为概念;智能电视;区块链;元宇宙概念;影视概念;DeepSeek概念;融资融券;5G概念;深股通;互联金融;互联网服务;广电;富时罗素;AI智能体;AIGC概念;Sora概念
688225,亚信安全,数字水印;数据安全;网络安全;鸿蒙概念;信创;卫星互联网;人工智能;DeepSeek概念;商业航天;大数据;6G概念;融资融券;算力概念;沪股通;东数西算
300352,北信源,数字水印;数据安全;国家安防;军民融合;智慧政务;军工;网络安全;鸿蒙概念;信创;数字货币;智慧城市;智能家居;卫星互联网;远程办公;人工智能;国产软件;工业互联;创业板综;华为概念;物联网;区块链;DeepSeek概念;海南自贸;大数据;数字经济;融资融券;百度概念;深股通;VPN;富时罗素;ChatGPT概念;Kimi概念
300081,恒信东方,数字水印;空间计算;虚拟现实;远程办公;人工智能;创业板综;华为概念;网络游戏;元宇宙概念;影视概念;谷子经济;机构重仓;数字经济;融资融券;算力概念;虚拟数字人;在线教育;Web3.0;AIGC概念
000681,视觉中国,数字水印;知识产权;数据确权;数据要素;AI语料;虚拟现实;NFT概念;人工智能;华为概念;区块链;新零售;融资融券;百度概念;深股通;AI应用;多模态AI;富时罗素;标准普尔;AI智能体;小红书概念;AIGC概念;智谱AI;Sora概念;昨日高换手
003029,吉大正元,数字水印;华为汽车;数据安全;车联网(车路云);军工;无人驾驶;网络安全;鸿蒙概念;信创;数字货币;智慧城市;专精特新;跨境支付;工业互联;华为概念;物联网;区块链;商业航天;大数据;量子科技;数字经济;深股通;云计算;蚂蚁概念;抖音概念(字节概念)
002717,ST岭南,数字水印;ST股;数据确权;新型城镇化;旅游概念;智慧城市;虚拟现实;PPP模式;乡村振兴;农业种植;华为概念;参股新三板;土壤修复;元宇宙概念;粤港自贸;首发经济;数字经济;雄安新区;央国企改革;虚拟数字人;水利建设;参股保险;富时罗素;一带一路;标准普尔;网红经济;低价股;AIGC概念;抖音概念(字节概念)
002228,合兴包装,数字水印;小米概念;包装材料;娃哈哈概念
300571,平治信息,数字水印;数字阅读;机器人概念;鸿蒙概念;虚拟现实;国产芯片;智能家居;人工智能;创业板综;物联网;元宇宙概念;影视概念;华为昇腾;WiFi;算力概念;在线教育;5G概念;储能;智谱AI
000925,众合科技,数字水印;时空大数据;智慧灯杆;车联网(车路云);数字孪生;数据确权;低空经济;无人驾驶;机器人概念;半导体概念;数据要素;智慧城市;交运设备;国产芯片;人工智能;工业互联;华为概念;元宇宙概念;商业航天;大数据;算力概念;虚拟数字人;数据中心;深股通;长江三角;一带一路
301270,汉仪股份,数字水印;数据要素;鸿蒙概念;人工智能;创业板综;华为概念;谷子经济;DeepSeek概念;融资融券;互联网服务;AI应用;AIGC概念
