日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-23,003043,44.64,44.5,44.7,44.18,6689,42216835.0,1.17,0.02,0.01,2.34
2023-02-24,003043,44.74,44.29,44.95,44.06,7187,45407464.0,2.0,-0.47,-0.21,2.51
2023-02-27,003043,44.29,43.34,44.49,43.34,7962,49552961.0,2.6,-2.14,-0.95,2.78
2023-02-28,003043,43.61,43.49,44.09,43.0,7159,44368492.0,2.51,0.35,0.15,2.5
2023-03-01,003043,43.11,43.44,43.61,42.94,7105,43715207.0,1.54,-0.11,-0.05,2.48
2023-03-02,003043,43.76,43.01,44.25,42.9,12397,76869277.15,3.11,-0.99,-0.43,4.33
2023-03-03,003043,44.24,44.73,46.16,43.96,26482,169059287.17,5.12,4.0,1.72,9.26
2023-03-06,003043,44.54,45.0,45.45,42.96,23626,148475501.0,5.57,0.6,0.27,8.26
2023-03-07,003043,44.62,43.43,45.04,43.33,14616,91598064.76,3.8,-3.49,-1.57,5.11
2023-03-08,003043,43.01,43.74,43.96,43.0,10229,63373424.0,2.21,0.71,0.31,3.58
2023-03-09,003043,43.74,45.3,47.04,43.54,29954,193910754.34,8.0,3.57,1.56,10.47
2023-03-10,003043,44.68,45.68,46.71,44.35,25212,163460228.54,5.21,0.84,0.38,8.82
2023-03-13,003043,45.61,45.28,46.06,44.75,13624,87538612.84,2.87,-0.88,-0.4,4.76
2023-03-14,003043,45.04,47.58,47.58,44.41,30366,199488958.93,7.0,5.08,2.3,10.62
2023-03-15,003043,47.61,46.89,48.51,46.87,28071,189411617.48,3.45,-1.45,-0.69,9.82
2023-03-16,003043,46.57,45.84,47.46,45.48,17699,116367844.4,4.22,-2.24,-1.05,6.19
2023-03-17,003043,46.25,46.7,47.32,45.44,23494,154582071.62,4.1,1.88,0.86,8.21
2023-03-20,003043,46.15,46.81,47.79,46.05,21689,144829550.43,3.73,0.24,0.11,7.58
2023-03-21,003043,46.46,46.65,47.13,45.71,18512,121752984.92,3.03,-0.34,-0.16,6.47
2023-03-22,003043,46.65,46.3,46.68,45.62,17256,112855411.2,2.27,-0.75,-0.35,6.03
2023-03-23,003043,45.96,46.32,46.93,45.68,19639,129115663.2,2.7,0.04,0.02,6.87
2023-03-24,003043,46.04,43.97,46.18,43.96,24532,156185696.54,4.79,-5.07,-2.35,8.58
2023-03-27,003043,43.61,43.47,44.09,43.24,15023,93103483.24,1.93,-1.14,-0.5,5.25
2023-03-28,003043,43.14,42.41,43.33,42.32,11919,72397568.72,2.32,-2.44,-1.06,4.17
2023-03-29,003043,42.19,43.46,44.0,42.19,16682,102726125.2,4.27,2.48,1.05,5.83
2023-03-30,003043,43.36,43.25,43.81,42.99,12071,74253175.6,1.89,-0.48,-0.21,4.22
2023-03-31,003043,43.05,43.03,43.31,42.75,8047,49153737.81,1.29,-0.51,-0.22,2.81
2023-04-03,003043,43.12,43.56,43.79,43.12,12879,79746850.0,1.56,1.23,0.53,4.5
2023-04-04,003043,43.46,43.61,44.21,43.19,13783,85634809.3,2.34,0.11,0.05,4.82
2023-04-06,003043,43.42,46.18,46.18,43.25,34668,222701050.22,6.72,5.89,2.57,12.12
2023-04-07,003043,46.21,48.21,48.89,46.2,45650,310330522.26,5.83,4.4,2.03,15.96
2023-04-10,003043,47.82,46.46,48.58,46.29,28384,190716000.64,4.75,-3.63,-1.75,9.92
2023-04-11,003043,46.94,46.29,47.61,45.46,20793,137024792.74,4.63,-0.37,-0.17,7.27
2023-04-12,003043,46.25,46.65,46.94,45.88,16306,107646883.0,2.29,0.78,0.36,5.7
2023-04-13,003043,45.94,44.99,46.25,44.84,15236,98404511.92,3.02,-3.56,-1.66,5.33
2023-04-14,003043,45.39,49.56,49.56,45.24,40674,274608694.11,9.6,10.16,4.57,14.22
2023-04-17,003043,51.32,49.6,52.81,48.89,69889,502801275.11,7.91,0.08,0.04,24.44
2023-04-18,003043,49.11,49.13,50.03,48.47,32087,223370322.51,3.15,-0.95,-0.47,11.22
2023-04-19,003043,49.32,49.96,50.98,48.69,45874,324681835.78,4.66,1.69,0.83,16.04
2023-04-20,003043,48.97,52.04,53.81,48.86,54550,395768218.94,9.91,4.16,2.08,19.07
2023-04-21,003043,51.27,49.39,51.82,48.61,35404,251776570.49,6.17,-5.09,-2.65,12.38
2023-04-24,003043,49.16,48.97,49.31,47.32,27298,186410681.43,4.03,-0.85,-0.42,9.54
2023-04-25,003043,48.61,49.4,53.6,48.58,56704,412259699.0,10.25,0.88,0.43,19.83
2023-04-26,003043,49.32,44.39,49.32,44.39,46967,306941051.25,9.98,-10.14,-5.01,16.42
2023-04-27,003043,42.16,42.21,44.21,42.16,31272,190951120.7,4.62,-4.91,-2.18,10.93
2023-04-28,003043,42.54,43.21,44.21,42.39,19958,123037048.59,4.31,2.37,1.0,6.98
2023-05-04,003043,42.36,40.27,42.49,39.33,32220,186013618.26,7.31,-6.8,-2.94,11.27
2023-05-05,003043,39.68,38.75,40.32,38.35,19278,107517834.01,4.89,-3.77,-1.52,6.74
2023-05-08,003043,38.56,38.35,38.91,38.0,12721,69677832.95,2.35,-1.03,-0.4,4.45
2023-05-09,003043,38.39,37.18,38.69,37.18,14894,80274486.45,3.94,-3.05,-1.17,5.21
2023-05-10,003043,37.04,37.55,37.55,36.32,13288,69988036.08,3.31,1.0,0.37,4.65
2023-05-11,003043,39.26,38.3,39.94,38.04,16566,91288395.04,5.06,2.0,0.75,5.79
2023-05-12,003043,37.89,37.05,38.65,37.05,11792,63629874.2,4.18,-3.26,-1.25,4.12
2023-05-15,003043,36.79,37.81,37.82,36.33,9520,50446071.99,4.02,2.05,0.76,3.33
2023-05-16,003043,37.61,38.27,38.46,37.46,11216,60791292.0,2.64,1.22,0.46,3.92
2023-05-17,003043,37.98,38.36,38.81,37.89,10550,57688944.1,2.4,0.24,0.09,3.69
2023-05-18,003043,38.4,38.04,38.52,37.83,8508,46237045.08,1.8,-0.83,-0.32,2.97
2023-05-19,003043,38.0,39.11,39.27,37.82,15954,88065426.66,3.81,2.81,1.07,5.58
2023-05-22,003043,39.13,38.77,39.63,38.39,9611,52946559.6,3.17,-0.87,-0.34,3.36
2023-05-23,003043,38.76,38.4,38.79,38.37,6275,34433961.57,1.08,-0.95,-0.37,2.19
2023-05-24,003043,38.61,39.01,39.71,38.41,14763,82258510.44,3.39,1.59,0.61,5.16
2023-05-25,003043,38.76,38.63,39.26,38.11,10982,60363305.0,2.95,-0.97,-0.38,3.84
2023-05-26,003043,38.76,38.11,38.85,38.11,8857,48506786.03,1.92,-1.35,-0.52,3.1
2023-05-29,003043,38.46,38.22,38.8,38.02,11589,63413294.64,2.05,0.29,0.11,4.05
2023-05-30,003043,38.21,37.23,38.22,36.63,16683,88438729.2,4.16,-2.59,-0.99,5.83
2023-05-31,003043,37.04,37.73,37.81,36.99,10927,58353658.71,2.2,1.34,0.5,3.82
2023-06-01,003043,37.2,37.75,37.89,37.18,10646,56946208.6,1.88,0.05,0.02,3.72
2023-06-02,003043,37.92,38.57,38.66,37.66,17002,92760782.44,2.65,2.17,0.82,5.94
2023-06-05,003043,38.71,38.93,39.87,38.64,17499,97442145.93,3.19,0.93,0.36,6.12
2023-06-06,003043,38.89,37.51,39.0,37.38,13109,70438813.0,4.16,-3.65,-1.42,4.58
2023-06-07,003043,37.38,37.36,38.01,37.11,9140,48434958.72,2.4,-0.4,-0.15,3.2
2023-06-08,003043,37.15,35.86,37.39,35.68,14260,73142150.61,4.58,-4.01,-1.5,4.99
