日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-23,002441,9.88,9.86,9.95,9.78,91629,101004831.7,1.72,-0.2,-0.02,2.3
2023-02-24,002441,9.83,9.76,9.89,9.66,109787,119523989.12,2.33,-1.01,-0.1,2.75
2023-02-27,002441,9.72,9.71,9.8,9.61,81589,88747490.62,1.95,-0.51,-0.05,2.05
2023-02-28,002441,9.76,9.79,9.8,9.59,85792,93127933.4,2.16,0.82,0.08,2.15
2023-03-01,002441,9.78,9.94,9.94,9.7,132287,145733399.89,2.45,1.53,0.15,3.32
2023-03-02,002441,9.92,9.7,9.92,9.66,145712,158950611.11,2.62,-2.41,-0.24,3.65
2023-03-03,002441,9.7,9.8,9.91,9.69,101913,111606820.61,2.27,1.03,0.1,2.55
2023-03-06,002441,9.83,9.79,9.89,9.62,91010,99061035.91,2.76,-0.1,-0.01,2.28
2023-03-07,002441,9.9,9.53,10.12,9.52,292927,322022274.15,6.13,-2.66,-0.26,7.34
2023-03-08,002441,9.41,9.63,9.82,9.39,150438,162143595.93,4.51,1.05,0.1,3.77
2023-03-09,002441,9.55,9.54,9.67,9.48,90810,97352244.33,1.97,-0.93,-0.09,2.28
2023-03-10,002441,9.53,9.29,9.54,9.29,110312,115958630.73,2.62,-2.62,-0.25,2.77
2023-03-13,002441,9.22,9.26,9.33,9.11,91533,94829201.73,2.37,-0.32,-0.03,2.29
2023-03-14,002441,9.22,9.09,9.26,8.9,103186,105492337.85,3.89,-1.84,-0.17,2.59
2023-03-15,002441,9.17,9.23,9.29,9.13,73100,75753697.54,1.76,1.54,0.14,1.83
2023-03-16,002441,9.21,8.91,9.22,8.87,85632,86767842.9,3.79,-3.47,-0.32,2.15
2023-03-17,002441,9.01,9.02,9.08,8.9,78319,79533615.0,2.02,1.23,0.11,1.96
2023-03-20,002441,9.03,9.11,9.18,8.91,89091,91079919.25,2.99,1.0,0.09,2.23
2023-03-21,002441,9.15,9.39,9.4,9.12,93275,97393338.14,3.07,3.07,0.28,2.34
2023-03-22,002441,9.41,9.42,9.47,9.29,80861,85172848.94,1.92,0.32,0.03,2.03
2023-03-23,002441,9.37,9.4,9.47,9.3,59636,62838933.86,1.8,-0.21,-0.02,1.49
2023-03-24,002441,9.45,9.58,9.61,9.34,122934,131105894.85,2.87,1.91,0.18,3.08
2023-03-27,002441,9.55,9.5,9.55,9.4,85357,90759725.53,1.57,-0.84,-0.08,2.14
2023-03-28,002441,9.51,9.42,9.55,9.41,64047,68020507.33,1.47,-0.84,-0.08,1.61
2023-03-29,002441,9.44,9.23,9.5,9.23,70396,73836308.0,2.87,-2.02,-0.19,1.76
2023-03-30,002441,9.23,9.15,9.27,9.11,67898,70093325.0,1.73,-0.87,-0.08,1.7
2023-03-31,002441,9.17,9.61,9.83,9.16,203158,217152607.34,7.32,5.03,0.46,5.09
2023-04-03,002441,9.52,9.41,9.52,9.3,163054,171843103.37,2.29,-2.08,-0.2,4.09
2023-04-04,002441,9.4,9.02,9.4,8.96,163495,167977251.24,4.68,-4.14,-0.39,4.1
2023-04-06,002441,8.97,8.87,8.97,8.85,88559,88903749.56,1.33,-1.66,-0.15,2.22
2023-04-07,002441,8.85,8.86,8.97,8.84,59284,59598477.9,1.47,-0.11,-0.01,1.49
2023-04-10,002441,8.86,8.66,8.89,8.58,98220,96963662.76,3.5,-2.26,-0.2,2.46
2023-04-11,002441,8.68,8.67,8.7,8.58,51667,50570065.12,1.39,0.12,0.01,1.3
2023-04-12,002441,8.67,8.73,8.75,8.6,58522,57486769.64,1.73,0.69,0.06,1.47
2023-04-13,002441,8.95,8.66,9.01,8.65,100647,99921431.52,4.12,-0.8,-0.07,2.52
2023-04-14,002441,8.59,8.67,8.69,8.56,57035,55826301.09,1.5,0.12,0.01,1.43
2023-04-17,002441,8.65,8.73,8.73,8.61,48039,47331033.18,1.38,0.69,0.06,1.2
2023-04-18,002441,8.72,8.57,8.72,8.55,68253,66568304.14,1.95,-1.83,-0.16,1.71
2023-04-19,002441,8.51,8.57,8.68,8.48,41220,40094120.0,2.33,0.0,0.0,1.03
2023-04-20,002441,8.56,8.51,8.61,8.42,59056,56955288.62,2.22,-0.7,-0.06,1.48
2023-04-21,002441,8.52,8.37,8.75,8.35,104952,101867197.81,4.7,-1.65,-0.14,2.63
2023-04-24,002441,8.25,8.17,8.28,8.07,80614,75195075.16,2.51,-2.39,-0.2,2.02
2023-04-25,002441,8.17,7.95,8.2,7.8,91794,83455021.51,4.9,-2.69,-0.22,2.3
2023-04-26,002441,7.99,8.17,8.23,7.93,66993,62100635.86,3.77,2.77,0.22,1.68
2023-04-27,002441,8.24,7.98,8.24,7.96,60436,55602327.06,3.43,-2.33,-0.19,1.51
2023-04-28,002441,8.45,8.89,8.89,8.43,106834,106179851.65,5.76,11.4,0.91,2.68
2023-05-04,002441,9.12,9.47,9.59,9.05,444105,465736414.18,6.07,6.52,0.58,11.13
2023-05-05,002441,9.46,9.27,9.49,9.21,178730,186699694.28,2.96,-2.11,-0.2,4.48
2023-05-08,002441,9.43,9.35,9.57,9.33,171854,181666699.86,2.59,0.86,0.08,4.31
2023-05-09,002441,9.31,9.07,9.31,9.07,129817,134163202.21,2.57,-2.99,-0.28,3.25
2023-05-10,002441,9.18,9.85,9.93,9.05,417950,449846500.06,9.7,8.6,0.78,10.48
2023-05-11,002441,9.75,9.91,10.25,9.56,367561,406356636.13,7.01,0.61,0.06,9.21
2023-05-12,002441,9.66,9.8,9.9,9.66,209888,229857408.4,2.42,-1.11,-0.11,5.26
2023-05-15,002441,9.73,10.47,10.51,9.7,427463,484785483.91,8.27,6.84,0.67,10.72
2023-05-16,002441,10.43,10.0,11.19,9.88,541688,635394380.9,12.51,-4.49,-0.47,13.58
2023-05-17,002441,10.01,10.26,10.45,9.94,334880,378503933.67,5.1,2.6,0.26,8.39
2023-05-18,002441,9.99,10.0,10.16,9.84,252911,282011211.92,3.12,-2.53,-0.26,6.34
2023-05-19,002441,9.99,10.04,10.16,9.78,188067,209931260.44,3.8,0.4,0.04,4.71
2023-05-22,002441,9.99,9.98,10.15,9.9,143369,160530804.34,2.49,-0.6,-0.06,3.59
2023-05-23,002441,9.95,9.62,9.95,9.62,192863,210680354.48,3.31,-3.61,-0.36,4.83
2023-05-24,002441,9.63,9.67,9.87,9.61,129610,141026599.74,2.7,0.52,0.05,3.25
2023-05-25,002441,9.62,9.81,9.89,9.61,130511,142311221.47,2.9,1.45,0.14,3.27
2023-05-26,002441,9.75,9.73,9.81,9.48,120425,129903421.46,3.36,-0.82,-0.08,3.02
2023-05-29,002441,9.75,9.52,9.78,9.52,95282,102522893.21,2.67,-2.16,-0.21,2.39
2023-05-30,002441,9.5,9.65,9.71,9.4,85020,91270490.37,3.26,1.37,0.13,2.13
2023-05-31,002441,9.65,9.66,9.71,9.56,82840,89352693.24,1.55,0.1,0.01,2.08
2023-06-01,002441,9.64,9.76,9.88,9.56,114427,124709379.17,3.31,1.04,0.1,2.87
2023-06-02,002441,9.8,10.03,10.03,9.75,192559,213636433.96,2.87,2.77,0.27,4.83
2023-06-05,002441,10.1,9.92,10.14,9.8,161575,178573364.26,3.39,-1.1,-0.11,4.05
2023-06-06,002441,9.91,9.58,9.91,9.56,145684,158243497.06,3.53,-3.43,-0.34,3.65
2023-06-07,002441,9.59,9.6,9.7,9.48,70514,75666748.98,2.3,0.21,0.02,1.77
2023-06-08,002441,9.57,9.44,9.6,9.3,110473,116834962.0,3.13,-1.67,-0.16,2.77
2023-06-09,002441,9.43,9.55,9.58,9.38,66792,71052861.28,2.12,1.17,0.11,1.67
2023-06-12,002441,9.55,9.94,9.95,9.48,137232,150443912.61,4.92,4.08,0.39,3.44
2023-06-13,002441,9.91,10.09,10.19,9.88,151217,169790327.3,3.12,1.51,0.15,3.79
2023-06-14,002441,10.09,9.95,10.11,9.86,105618,117531736.18,2.48,-1.39,-0.14,2.65
2023-06-15,002441,9.91,10.2,10.23,9.91,175029,197777934.48,3.22,2.51,0.25,4.39
2023-06-16,002441,10.25,10.14,10.34,10.05,147657,166815367.19,2.84,-0.59,-0.06,3.7
2023-06-19,002441,10.09,10.06,10.17,10.01,103517,116348670.3,1.58,-0.79,-0.08,2.59
2023-06-20,002441,10.2,10.17,10.37,10.0,159261,179868807.86,3.68,1.09,0.11,3.99
2023-06-21,002441,10.13,10.03,10.32,10.0,133888,151119093.36,3.15,-1.38,-0.14,3.36
2023-06-26,002441,9.95,9.81,10.14,9.8,112792,125282762.67,3.39,-2.19,-0.22,2.83
2023-06-27,002441,9.9,10.05,10.1,9.81,94386,105203685.0,2.96,2.45,0.24,2.37
2023-06-28,002441,10.02,9.98,10.05,9.61,122654,134919635.08,4.38,-0.7,-0.07,3.07
2023-06-29,002441,10.0,10.19,10.26,9.96,135367,153465332.75,3.01,2.1,0.21,3.39
2023-06-30,002441,10.19,10.25,10.28,10.1,120798,137434945.07,1.77,0.59,0.06,3.03
2023-07-03,002441,10.35,10.39,10.47,10.17,165987,190971514.63,2.93,1.37,0.14,4.16
2023-07-04,002441,10.34,10.46,10.55,10.26,143331,166275729.79,2.79,0.67,0.07,3.59
2023-07-05,002441,10.47,10.32,10.56,10.26,131240,151254850.96,2.87,-1.34,-0.14,3.29
2023-07-06,002441,10.37,10.22,10.38,10.15,113071,124841053.97,2.23,-0.97,-0.1,2.83
2023-07-07,002441,10.24,10.14,10.26,10.04,78811,86260909.05,2.15,-0.78,-0.08,1.98
2023-07-10,002441,10.26,10.03,10.28,9.98,80012,87005202.0,2.96,-1.08,-0.11,2.01
2023-07-11,002441,10.03,10.24,10.27,9.93,77634,84809759.21,3.39,2.09,0.21,1.95
2023-07-12,002441,10.21,10.3,10.48,10.15,135694,151575672.37,3.22,0.59,0.06,3.4
2023-07-13,002441,10.34,10.2,10.4,10.09,119565,131454105.66,3.01,-0.97,-0.1,3.0
2023-07-14,002441,10.17,9.92,10.19,9.89,122994,133192202.22,2.94,-2.75,-0.28,3.08
2023-07-17,002441,9.9,10.22,10.3,9.88,133684,146199813.4,4.23,3.02,0.3,3.35
2023-07-18,002441,10.17,9.97,10.19,9.88,97200,104650750.0,3.03,-2.45,-0.25,2.44
2023-07-19,002441,9.94,9.87,10.26,9.76,100299,107564640.08,5.02,-1.0,-0.1,2.51
2023-07-20,002441,9.87,9.6,9.89,9.59,89576,93955415.16,3.04,-2.74,-0.27,2.25
2023-07-21,002441,9.58,9.52,9.66,9.45,50606,52395880.86,2.19,-0.83,-0.08,1.27
2023-07-24,002441,9.57,9.62,9.68,9.43,43887,45646505.68,2.63,1.05,0.1,1.1
2023-07-25,002441,9.69,10.35,10.66,9.64,259223,286783098.28,10.6,7.59,0.73,6.5
2023-07-26,002441,10.35,10.09,10.4,10.03,149754,164142825.2,3.57,-2.51,-0.26,3.75
2023-07-27,002441,10.07,9.9,10.27,9.87,93700,101684075.84,3.96,-1.88,-0.19,2.35
2023-07-28,002441,9.85,9.82,9.88,9.56,96766,101856124.15,3.23,-0.81,-0.08,2.43
2023-07-31,002441,9.78,9.81,9.94,9.75,77928,82840078.16,1.93,-0.1,-0.01,1.95
2023-08-01,002441,9.8,9.7,9.82,9.61,67840,70962974.81,2.14,-1.12,-0.11,1.7
2023-08-02,002441,9.67,9.69,9.73,9.64,40279,42185279.7,0.93,-0.1,-0.01,1.01
2023-08-03,002441,9.65,9.55,9.68,9.51,61040,63280831.97,1.75,-1.44,-0.14,1.53
2023-08-04,002441,9.57,9.68,9.69,9.57,52719,55091795.36,1.26,1.36,0.13,1.32
2023-08-07,002441,9.7,9.38,9.72,9.36,101798,105016291.16,3.72,-3.1,-0.3,2.55
2023-08-08,002441,9.38,9.47,9.49,9.38,49764,50987984.5,1.17,0.96,0.09,1.25
2023-08-09,002441,9.44,9.35,9.47,9.31,41610,42317413.0,1.69,-1.27,-0.12,1.04
2023-08-10,002441,9.33,9.47,9.53,9.33,33340,34169766.52,2.14,1.28,0.12,0.84
2023-08-11,002441,9.46,9.26,9.48,9.24,35971,36460565.08,2.53,-2.22,-0.21,0.9
2023-08-14,002441,9.2,9.34,9.35,9.06,54787,54708800.72,3.13,0.86,0.08,1.37
2023-08-15,002441,9.3,9.31,9.35,9.21,29555,29826241.58,1.5,-0.32,-0.03,0.74
2023-08-16,002441,9.29,9.17,9.31,9.17,25244,25310566.24,1.5,-1.5,-0.14,0.63
2023-08-17,002441,9.15,9.38,9.38,9.12,41016,41381224.8,2.84,2.29,0.21,1.03
2023-08-18,002441,9.33,9.22,9.44,9.22,36170,36671899.51,2.35,-1.71,-0.16,0.91
2023-08-21,002441,9.22,9.2,9.43,9.19,43650,44093536.07,2.6,-0.22,-0.02,1.09
2023-08-22,002441,9.25,9.27,9.32,9.05,43657,43512571.16,2.93,0.76,0.07,1.09
2023-08-23,002441,9.23,9.15,9.31,9.1,37088,37112907.83,2.27,-1.29,-0.12,0.93
2023-08-24,002441,9.21,9.08,9.22,9.01,43477,43093868.42,2.3,-0.77,-0.07,1.09
2023-08-25,002441,9.06,8.94,9.12,8.88,46657,45638830.35,2.64,-1.54,-0.14,1.17
2023-08-28,002441,9.45,9.04,9.49,9.01,76209,76398105.08,5.37,1.12,0.1,1.91
2023-08-29,002441,9.06,9.38,9.43,9.04,70441,71241449.01,4.31,3.76,0.34,1.77
2023-08-30,002441,9.39,9.47,9.58,9.37,61031,62724161.0,2.24,0.96,0.09,1.53
2023-08-31,002441,9.29,8.74,9.29,8.69,186019,179767030.37,6.34,-7.71,-0.73,4.66
2023-09-01,002441,8.71,8.73,8.85,8.66,46874,44626612.7,2.17,-0.11,-0.01,1.18
2023-09-04,002441,8.75,9.12,9.13,8.75,98658,96253155.59,4.35,4.47,0.39,2.47
2023-09-05,002441,9.1,9.0,9.1,8.93,48119,47100101.22,1.86,-1.32,-0.12,1.21
2023-09-06,002441,8.95,9.03,9.05,8.86,41175,40257926.33,2.11,0.33,0.03,1.03
2023-09-07,002441,9.01,8.82,9.01,8.82,38616,37446505.36,2.1,-2.33,-0.21,0.97
2023-09-08,002441,8.82,8.88,8.91,8.81,22281,21524114.37,1.13,0.68,0.06,0.56
2023-09-11,002441,8.9,9.04,9.06,8.83,43651,42683513.11,2.59,1.8,0.16,1.09
2023-09-12,002441,9.04,9.02,9.05,8.96,26148,25655002.11,1.0,-0.22,-0.02,0.66
2023-09-13,002441,8.99,8.82,9.05,8.77,51184,49410156.42,3.1,-2.22,-0.2,1.28
2023-09-14,002441,8.82,8.64,8.82,8.54,53162,50313569.18,3.17,-2.04,-0.18,1.33
2023-09-15,002441,8.68,8.67,8.74,8.6,29066,27488078.0,1.62,0.35,0.03,0.73
2023-09-18,002441,8.63,8.77,8.82,8.52,39519,37708663.0,3.46,1.15,0.1,0.99
2023-09-19,002441,8.76,8.67,8.76,8.63,23383,22206292.71,1.48,-1.14,-0.1,0.59
2023-09-20,002441,8.66,8.7,8.74,8.62,25413,24128390.76,1.38,0.35,0.03,0.64
2023-09-21,002441,8.7,8.6,8.75,8.55,28327,26736856.42,2.3,-1.15,-0.1,0.71
2023-09-22,002441,8.59,8.85,8.85,8.56,38569,36849210.05,3.37,2.91,0.25,0.97
2023-09-25,002441,8.82,8.77,8.89,8.75,26468,25424185.71,1.58,-0.9,-0.08,0.66
2023-09-26,002441,8.77,8.79,8.81,8.74,21398,20486761.0,0.8,0.23,0.02,0.54
2023-09-27,002441,8.79,8.93,8.96,8.72,59206,57249812.0,2.73,1.59,0.14,1.48
2023-09-28,002441,8.9,8.9,8.98,8.86,39109,37970188.88,1.34,-0.34,-0.03,0.98
2023-10-09,002441,8.86,8.91,8.93,8.82,35896,34738687.0,1.24,0.11,0.01,0.9
2023-10-10,002441,8.9,8.89,9.05,8.88,41250,40156797.0,1.91,-0.22,-0.02,1.03
2023-10-11,002441,8.94,8.8,8.94,8.77,40099,38589064.93,1.91,-1.01,-0.09,1.01
2023-10-12,002441,8.81,8.95,8.95,8.77,36263,35112242.1,2.05,1.7,0.15,0.91
2023-10-13,002441,8.9,8.77,8.93,8.73,36805,35317415.0,2.23,-2.01,-0.18,0.92
2023-10-16,002441,8.74,8.57,8.8,8.49,52707,49375120.0,3.53,-2.28,-0.2,1.32
2023-10-17,002441,8.58,8.54,8.6,8.48,26480,24693734.0,1.4,-0.35,-0.03,0.66
2023-10-18,002441,8.51,8.38,8.54,8.36,32656,30068433.42,2.11,-1.87,-0.16,0.82
2023-10-19,002441,8.34,8.38,8.48,8.33,29759,27421586.0,1.79,0.0,0.0,0.75
2023-10-20,002441,8.36,8.36,8.56,8.33,25755,23753602.48,2.74,-0.24,-0.02,0.65
2023-10-23,002441,8.35,8.05,8.37,8.0,40425,36192410.81,4.43,-3.71,-0.31,1.01
2023-10-24,002441,8.12,8.3,8.33,8.09,40434,36480996.1,2.98,3.11,0.25,1.01
2023-10-25,002441,8.37,8.41,8.51,8.32,28429,26285843.36,2.29,1.33,0.11,0.71
2023-10-26,002441,8.41,8.52,8.54,8.28,33171,30587316.57,3.09,1.31,0.11,0.83
2023-10-27,002441,8.52,8.55,8.59,8.45,27386,25540060.0,1.64,0.35,0.03,0.69
2023-10-30,002441,8.49,8.53,8.56,8.42,42044,39119055.53,1.64,-0.23,-0.02,1.05
2023-10-31,002441,8.53,8.44,8.56,8.37,31368,29036774.0,2.23,-1.06,-0.09,0.79
2023-11-01,002441,8.5,8.51,8.54,8.42,26063,24219362.41,1.42,0.83,0.07,0.65
