日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-23,002052,1.82,1.82,1.86,1.79,146786,26688811.0,3.72,-3.19,-0.06,1.97
2023-02-24,002052,1.81,1.82,1.84,1.79,63938,11592390.02,2.75,0.0,0.0,0.86
2023-02-27,002052,1.82,1.76,1.82,1.74,81396,14460811.0,4.4,-3.3,-0.06,1.09
2023-02-28,002052,1.77,1.78,1.84,1.77,61367,11038127.77,3.98,1.14,0.02,0.82
2023-03-01,002052,1.77,1.82,1.83,1.76,49223,8887516.0,3.93,2.25,0.04,0.66
2023-03-02,002052,1.82,1.9,1.91,1.82,87447,16457791.0,4.95,4.4,0.08,1.17
2023-03-03,002052,1.88,1.86,1.89,1.85,44695,8348930.14,2.11,-2.11,-0.04,0.6
2023-03-06,002052,1.88,1.95,1.95,1.87,111619,21634197.95,4.3,4.84,0.09,1.5
2023-03-07,002052,1.98,1.94,2.04,1.93,124304,24531419.99,5.64,-0.51,-0.01,1.67
2023-03-08,002052,1.95,2.04,2.04,1.94,187469,37969135.08,5.15,5.15,0.1,2.51
2023-03-09,002052,2.05,2.06,2.1,1.99,180663,37036074.0,5.39,0.98,0.02,2.42
2023-03-10,002052,2.07,2.16,2.16,2.03,212655,45193729.41,6.31,4.85,0.1,2.85
2023-03-13,002052,2.22,2.11,2.22,2.07,163334,34948262.32,6.94,-2.31,-0.05,2.19
2023-03-14,002052,2.08,2.04,2.1,2.01,112025,22955652.16,4.27,-3.32,-0.07,1.5
2023-03-15,002052,2.03,2.02,2.07,2.02,61322,12536281.64,2.45,-0.98,-0.02,0.82
2023-03-16,002052,2.0,1.96,2.04,1.94,76111,15010942.88,4.95,-2.97,-0.06,1.02
2023-03-17,002052,1.92,1.92,1.97,1.9,82705,15987825.0,3.57,-2.04,-0.04,1.11
2023-03-20,002052,1.94,1.83,1.96,1.82,135715,25137771.4,7.29,-4.69,-0.09,1.82
2023-03-21,002052,1.83,1.86,1.89,1.82,58496,10882734.0,3.83,1.64,0.03,0.78
2023-03-22,002052,1.87,1.95,1.95,1.87,53273,10261107.0,4.3,4.84,0.09,0.71
2023-03-23,002052,1.94,1.94,2.04,1.93,91774,18038465.0,5.64,-0.51,-0.01,1.23
2023-03-24,002052,1.95,1.88,1.95,1.86,65841,12452197.0,4.64,-3.09,-0.06,0.88
2023-03-27,002052,1.9,1.8,1.91,1.79,188709,34117218.0,6.38,-4.26,-0.08,2.53
2023-03-28,002052,1.8,1.88,1.89,1.78,113870,21287372.86,6.11,4.44,0.08,1.53
2023-03-29,002052,1.83,1.97,1.97,1.8,132103,25183522.38,9.04,4.79,0.09,1.77
2023-03-30,002052,1.99,2.07,2.07,1.98,168438,34706575.02,4.57,5.08,0.1,2.26
2023-03-31,002052,2.17,2.1,2.17,2.04,294782,62411749.17,6.28,1.45,0.03,3.95
2023-04-03,002052,2.07,2.06,2.11,2.0,190303,38953748.9,5.24,-1.9,-0.04,2.55
2023-04-04,002052,2.07,2.1,2.15,2.04,128212,26908516.12,5.34,1.94,0.04,1.72
2023-04-06,002052,2.08,2.04,2.09,2.03,105811,21649076.06,2.86,-2.86,-0.06,1.42
2023-04-07,002052,2.02,2.05,2.08,2.02,55275,11292735.05,2.94,0.49,0.01,0.74
2023-04-10,002052,2.07,1.95,2.08,1.95,143470,28400625.56,6.34,-4.88,-0.1,1.92
2023-04-11,002052,1.94,1.98,1.98,1.87,67486,12998975.1,5.64,1.54,0.03,0.9
2023-04-12,002052,2.08,2.08,2.08,2.08,35972,7482176.0,0.0,5.05,0.1,0.48
2023-04-13,002052,2.09,2.08,2.16,2.05,136441,28646974.09,5.29,0.0,0.0,1.83
2023-04-14,002052,2.06,2.09,2.13,2.03,63513,13144066.0,4.81,0.48,0.01,0.85
2023-04-17,002052,2.09,2.17,2.19,2.07,118932,25686186.0,5.74,3.83,0.08,1.59
2023-04-18,002052,2.18,2.23,2.27,2.17,143088,31859209.0,4.61,2.76,0.06,1.92
2023-04-19,002052,2.2,2.34,2.34,2.2,190763,43758397.52,6.28,4.93,0.11,2.56
2023-04-20,002052,2.33,2.33,2.38,2.25,158309,36528987.56,5.56,-0.43,-0.01,2.12
2023-04-21,002052,2.26,2.21,2.3,2.21,161139,36120275.0,3.86,-5.15,-0.12,2.16
2023-04-24,002052,2.19,2.24,2.27,2.17,88466,19782695.0,4.52,1.36,0.03,1.19
2023-04-25,002052,2.25,2.13,2.27,2.13,108535,23491392.0,6.25,-4.91,-0.11,1.45
2023-04-26,002052,2.13,2.1,2.18,2.04,92871,19530685.05,6.57,-1.41,-0.03,1.24
2023-04-27,002052,2.1,2.07,2.15,2.04,68475,14288579.0,5.24,-1.43,-0.03,0.92
2023-05-04,002052,2.17,2.17,2.17,2.17,5598,1214772.51,0.0,4.83,0.1,0.08
2023-05-05,002052,2.28,2.28,2.28,2.28,8154,1859066.4,0.0,5.07,0.11,0.11
2023-05-08,002052,2.39,2.18,2.39,2.17,219862,49694848.84,9.65,-4.39,-0.1,2.95
2023-05-09,002052,2.07,2.07,2.14,2.07,157751,32908842.0,3.21,-5.05,-0.11,2.11
2023-05-10,002052,2.06,2.07,2.13,2.03,77377,16061433.0,4.83,0.0,0.0,1.04
2023-05-11,002052,2.08,2.08,2.11,2.06,60229,12551312.0,2.42,0.48,0.01,0.81
2023-05-12,002052,2.06,2.1,2.11,2.06,58563,12183747.8,2.4,0.96,0.02,0.79
2023-05-15,002052,2.1,2.21,2.21,2.09,106454,23039380.8,5.71,5.24,0.11,1.43
2023-05-16,002052,2.19,2.2,2.22,2.15,79186,17282715.0,3.17,-0.45,-0.01,1.06
2023-05-17,002052,2.18,2.17,2.24,2.15,63632,13959851.0,4.09,-1.36,-0.03,0.85
2023-05-18,002052,2.16,2.1,2.18,2.1,65016,13882719.0,3.69,-3.23,-0.07,0.87
2023-05-19,002052,2.09,2.1,2.11,2.07,44214,9249551.8,1.9,0.0,0.0,0.59
2023-05-22,002052,2.07,2.0,2.08,2.0,134362,26971315.0,3.81,-4.76,-0.1,1.8
2023-05-23,002052,1.97,2.05,2.06,1.95,75504,15229681.0,5.5,2.5,0.05,1.01
2023-05-24,002052,2.04,2.04,2.08,2.02,57153,11697750.0,2.93,-0.49,-0.01,0.77
2023-05-25,002052,2.03,2.01,2.06,1.98,53425,10784706.93,3.92,-1.47,-0.03,0.72
2023-05-26,002052,2.01,2.01,2.03,1.98,40043,8009858.0,2.49,0.0,0.0,0.54
2023-05-29,002052,1.97,1.98,2.01,1.96,40670,8044625.0,2.49,-1.49,-0.03,0.55
2023-05-30,002052,1.99,1.99,2.04,1.97,44782,8908159.0,3.54,0.51,0.01,0.6
2023-05-31,002052,1.97,1.91,1.99,1.9,78876,15178044.0,4.52,-4.02,-0.08,1.06
2023-06-01,002052,1.91,1.94,1.94,1.85,49501,9374754.1,4.71,1.57,0.03,0.66
2023-06-02,002052,1.93,1.92,1.95,1.91,54981,10571400.0,2.06,-1.03,-0.02,0.74
2023-06-05,002052,1.92,1.91,1.94,1.89,43560,8339675.89,2.6,-0.52,-0.01,0.58
2023-06-06,002052,1.9,1.82,1.91,1.82,85792,15937228.0,4.71,-4.71,-0.09,1.15
2023-06-07,002052,1.82,1.91,1.91,1.82,71341,13411470.0,4.95,4.95,0.09,0.96
2023-06-08,002052,1.91,1.87,1.92,1.84,51955,9725596.34,4.19,-2.09,-0.04,0.7
2023-06-09,002052,1.87,1.86,1.89,1.85,31616,5908544.0,2.14,-0.53,-0.01,0.42
2023-06-12,002052,1.88,1.88,1.9,1.85,29506,5541832.0,2.69,1.08,0.02,0.4
2023-06-13,002052,1.88,1.91,1.96,1.87,48221,9285564.0,4.79,1.6,0.03,0.65
2023-06-14,002052,1.91,1.96,2.0,1.91,62884,12291685.94,4.71,2.62,0.05,0.84
2023-06-15,002052,1.96,1.94,2.0,1.93,38073,7422383.0,3.57,-1.02,-0.02,0.51
2023-06-16,002052,1.95,1.96,1.97,1.93,34386,6715808.0,2.06,1.03,0.02,0.46
2023-06-19,002052,1.95,1.9,1.96,1.88,69342,13305874.0,4.08,-3.06,-0.06,0.93
2023-06-20,002052,1.91,1.87,1.91,1.85,46768,8735621.6,3.16,-1.58,-0.03,0.63
2023-06-21,002052,1.88,1.88,1.9,1.86,26251,4955573.36,2.14,0.53,0.01,0.35
2023-06-26,002052,1.87,1.84,1.89,1.83,52263,9683892.8,3.19,-2.13,-0.04,0.7
2023-06-27,002052,1.84,1.91,1.91,1.84,42753,8036333.0,3.8,3.8,0.07,0.57
2023-06-28,002052,1.92,1.91,1.93,1.88,39604,7522558.8,2.62,0.0,0.0,0.53
2023-06-29,002052,1.91,1.88,1.91,1.88,32229,6074551.4,1.57,-1.57,-0.03,0.43
