日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2023-02-23,000638,7.5,7.62,7.65,7.46,129572,98128938.68,2.54,1.74,0.13,4.2
2023-02-24,000638,7.6,7.8,7.98,7.57,274235,214445359.12,5.38,2.36,0.18,8.88
2023-02-27,000638,7.7,7.67,7.8,7.61,141947,108909683.94,2.44,-1.67,-0.13,4.6
2023-02-28,000638,7.65,7.7,7.81,7.6,133101,102436530.42,2.74,0.39,0.03,4.31
2023-03-01,000638,7.7,7.66,7.71,7.6,114198,87264404.68,1.43,-0.52,-0.04,3.7
2023-03-02,000638,7.61,7.38,7.66,7.37,193266,144711831.0,3.79,-3.66,-0.28,6.26
2023-03-03,000638,7.4,7.31,7.46,7.26,113535,83316719.02,2.71,-0.95,-0.07,3.68
2023-03-06,000638,7.29,7.35,7.37,7.28,61443,45042822.46,1.23,0.55,0.04,1.99
2023-03-07,000638,7.33,7.07,7.37,7.06,139444,100063787.28,4.22,-3.81,-0.28,4.52
2023-03-08,000638,7.06,7.11,7.15,7.04,57024,40531486.0,1.56,0.57,0.04,1.85
2023-03-09,000638,7.15,7.06,7.15,6.99,62168,43871077.1,2.25,-0.7,-0.05,2.01
2023-03-10,000638,7.0,7.01,7.05,6.92,58644,40991496.0,1.84,-0.71,-0.05,1.9
2023-03-13,000638,6.96,6.94,7.02,6.8,64793,44790189.04,3.14,-1.0,-0.07,2.1
2023-03-14,000638,6.98,6.76,6.99,6.7,74856,50946215.29,4.18,-2.59,-0.18,2.43
2023-03-15,000638,6.82,6.87,6.94,6.81,61352,42229395.44,1.92,1.63,0.11,1.99
2023-03-16,000638,6.81,6.69,6.83,6.68,59018,39780406.0,2.18,-2.62,-0.18,1.91
2023-03-17,000638,6.73,6.72,6.79,6.65,58089,39045560.6,2.09,0.45,0.03,1.88
2023-03-20,000638,6.73,6.8,6.8,6.65,61543,41445560.0,2.23,1.19,0.08,1.99
2023-03-21,000638,6.8,7.03,7.04,6.78,122765,85655264.88,3.82,3.38,0.23,3.98
2023-03-22,000638,6.93,6.98,7.02,6.93,71369,49737829.5,1.28,-0.71,-0.05,2.31
2023-03-23,000638,6.97,7.03,7.03,6.92,62273,43421501.16,1.58,0.72,0.05,2.02
2023-03-24,000638,7.04,6.92,7.04,6.88,60474,41982561.0,2.28,-1.56,-0.11,1.96
2023-03-27,000638,6.9,6.86,6.9,6.77,65597,44871063.24,1.88,-0.87,-0.06,2.13
2023-03-28,000638,6.91,6.77,6.92,6.75,47523,32342958.34,2.48,-1.31,-0.09,1.54
2023-03-29,000638,6.78,6.71,6.78,6.67,50360,33790427.38,1.62,-0.89,-0.06,1.63
2023-03-30,000638,6.71,6.47,6.74,6.41,79493,51683440.0,4.92,-3.58,-0.24,2.58
2023-03-31,000638,6.45,6.53,6.56,6.45,46376,30199672.0,1.7,0.93,0.06,1.5
2023-04-03,000638,6.53,6.6,6.62,6.49,51739,33934084.54,1.99,1.07,0.07,1.68
2023-04-04,000638,6.6,6.38,6.64,6.36,85109,55004878.5,4.24,-3.33,-0.22,2.76
2023-04-06,000638,6.38,6.31,6.41,6.26,64954,40950277.0,2.35,-1.1,-0.07,2.1
2023-04-07,000638,6.31,6.5,6.53,6.29,70370,45389031.0,3.8,3.01,0.19,2.28
2023-04-10,000638,6.5,6.43,6.56,6.42,58689,38062045.0,2.15,-1.08,-0.07,1.9
2023-04-11,000638,6.38,6.49,6.5,6.33,39051,25061723.6,2.64,0.93,0.06,1.27
2023-04-12,000638,6.5,6.5,6.53,6.46,37949,24619266.31,1.08,0.15,0.01,1.23
2023-04-13,000638,6.5,6.46,6.53,6.42,46622,30209364.89,1.69,-0.62,-0.04,1.51
2023-04-14,000638,6.52,6.55,6.6,6.42,63063,41096795.0,2.79,1.39,0.09,2.04
2023-04-17,000638,6.51,6.48,6.54,6.45,34615,22418304.0,1.37,-1.07,-0.07,1.12
2023-04-18,000638,6.47,6.35,6.47,6.34,56743,36179362.77,2.01,-2.01,-0.13,1.84
2023-04-19,000638,6.34,6.36,6.49,6.32,43971,28136110.28,2.68,0.16,0.01,1.42
2023-04-20,000638,6.3,6.13,6.34,6.08,103000,63255702.54,4.09,-3.62,-0.23,3.34
2023-04-21,000638,6.1,5.98,6.17,5.98,73646,44558739.0,3.1,-2.45,-0.15,2.39
2023-04-24,000638,5.93,5.94,6.03,5.84,60155,35697393.0,3.18,-0.67,-0.04,1.95
2023-04-25,000638,5.94,5.76,5.99,5.68,66649,38494116.0,5.22,-3.03,-0.18,2.16
2023-04-26,000638,5.73,5.86,5.9,5.72,62354,36373249.84,3.13,1.74,0.1,2.02
2023-04-27,000638,5.88,5.83,5.92,5.8,40761,23892879.84,2.05,-0.51,-0.03,1.32
2023-04-28,000638,5.85,5.99,5.99,5.84,45274,26934874.0,2.57,2.74,0.16,1.47
2023-05-04,000638,5.95,6.06,6.06,5.93,45176,27228484.0,2.17,1.17,0.07,1.46
2023-05-05,000638,6.08,5.93,6.09,5.85,65049,38495155.27,3.96,-2.15,-0.13,2.11
2023-05-08,000638,5.92,5.94,5.97,5.89,38306,22699455.32,1.35,0.17,0.01,1.24
2023-05-09,000638,5.91,5.83,5.95,5.82,49006,28825008.0,2.19,-1.85,-0.11,1.59
2023-05-10,000638,5.81,5.84,5.88,5.8,32007,18685526.92,1.37,0.17,0.01,1.04
2023-05-11,000638,5.89,5.99,6.02,5.86,52555,31353567.97,2.74,2.57,0.15,1.7
2023-05-12,000638,6.02,5.9,6.04,5.9,35111,20916541.3,2.34,-1.5,-0.09,1.14
2023-05-15,000638,5.88,5.88,5.99,5.79,31677,18567024.0,3.39,-0.34,-0.02,1.03
2023-05-16,000638,5.86,5.84,5.87,5.8,29939,17455612.81,1.19,-0.68,-0.04,0.97
2023-05-17,000638,5.8,5.97,5.98,5.77,45791,27095207.04,3.6,2.23,0.13,1.48
2023-05-18,000638,5.97,5.98,6.01,5.94,32470,19386743.96,1.17,0.17,0.01,1.05
2023-05-19,000638,6.0,6.0,6.04,5.92,41180,24628741.9,2.01,0.33,0.02,1.33
2023-05-22,000638,6.0,5.96,6.06,5.93,31921,19021141.0,2.17,-0.67,-0.04,1.03
2023-05-23,000638,5.93,6.04,6.11,5.91,56020,33829075.36,3.36,1.34,0.08,1.81
2023-05-24,000638,6.02,6.03,6.1,5.97,49826,30107091.0,2.15,-0.17,-0.01,1.61
2023-05-25,000638,6.0,6.14,6.25,5.98,97500,59826589.0,4.48,1.82,0.11,3.16
2023-05-26,000638,6.12,5.98,6.16,5.86,86581,51544415.0,4.89,-2.61,-0.16,2.8
2023-05-29,000638,5.95,5.91,6.01,5.9,39552,23526830.0,1.84,-1.17,-0.07,1.28
2023-05-30,000638,5.94,5.92,5.95,5.81,44148,25882148.0,2.37,0.17,0.01,1.43
2023-05-31,000638,5.93,5.96,6.03,5.88,45815,27358193.0,2.53,0.68,0.04,1.48
2023-06-01,000638,5.92,5.91,5.96,5.85,37216,21981013.0,1.85,-0.84,-0.05,1.21
2023-06-02,000638,5.98,6.02,6.04,5.93,43822,26231089.0,1.86,1.86,0.11,1.42
2023-06-05,000638,5.98,6.07,6.09,5.98,39237,23746924.0,1.83,0.83,0.05,1.27
2023-06-06,000638,6.06,5.94,6.07,5.92,43736,26142669.0,2.47,-2.14,-0.13,1.42
2023-06-07,000638,5.91,5.9,5.92,5.86,28851,16999286.0,1.01,-0.67,-0.04,0.93
2023-06-08,000638,5.9,5.78,5.92,5.78,37228,21702026.0,2.37,-2.03,-0.12,1.21
2023-06-09,000638,5.77,5.86,5.89,5.77,27489,16076720.66,2.08,1.38,0.08,0.89
2023-06-12,000638,5.86,5.96,6.0,5.75,54150,31869178.2,4.27,1.71,0.1,1.75
2023-06-13,000638,5.96,6.02,6.05,5.92,42752,25685064.0,2.18,1.01,0.06,1.39
2023-06-14,000638,6.03,6.0,6.04,5.97,29226,17565577.0,1.16,-0.33,-0.02,0.95
2023-06-15,000638,6.03,5.97,6.04,5.94,30023,17914592.24,1.67,-0.5,-0.03,0.97
2023-06-16,000638,5.97,6.03,6.08,5.94,44178,26679412.0,2.35,1.01,0.06,1.43
2023-06-19,000638,6.05,6.13,6.19,5.99,84056,51248101.36,3.32,1.66,0.1,2.72
2023-06-20,000638,6.1,5.93,6.12,5.93,79655,47694237.98,3.1,-3.26,-0.2,2.58
2023-06-21,000638,5.91,5.81,5.92,5.81,43854,25643085.0,1.85,-2.02,-0.12,1.42
2023-06-26,000638,5.77,5.72,5.85,5.7,50737,29245694.0,2.58,-1.55,-0.09,1.64
2023-06-27,000638,5.7,5.88,5.89,5.69,49971,29135342.0,3.5,2.8,0.16,1.62
2023-06-28,000638,5.88,5.82,5.88,5.68,52732,30432054.0,3.4,-1.02,-0.06,1.71
2023-06-29,000638,5.8,5.94,5.98,5.77,58069,34477227.76,3.61,2.06,0.12,1.88
2023-06-30,000638,5.96,6.03,6.07,5.94,45733,27578704.1,2.19,1.52,0.09,1.48
2023-07-03,000638,6.09,6.04,6.17,6.03,56957,34668894.0,2.32,0.17,0.01,1.84
2023-07-04,000638,6.05,6.09,6.14,6.01,42953,26101014.0,2.15,0.83,0.05,1.39
2023-07-05,000638,6.1,6.12,6.19,6.05,65213,39948462.0,2.3,0.49,0.03,2.11
2023-07-06,000638,6.11,6.08,6.12,6.0,56058,33873376.02,1.96,-0.65,-0.04,1.82
2023-07-07,000638,6.05,6.03,6.09,6.01,32214,19463971.0,1.32,-0.82,-0.05,1.04
2023-07-10,000638,6.03,6.04,6.08,6.01,35106,21199888.0,1.16,0.17,0.01,1.14
2023-07-11,000638,6.04,6.16,6.18,6.03,75942,46649472.0,2.48,1.99,0.12,2.46
2023-07-12,000638,6.15,6.08,6.2,6.07,44890,27497306.0,2.11,-1.3,-0.08,1.45
2023-07-13,000638,6.06,6.05,6.15,6.02,40632,24683189.0,2.14,-0.49,-0.03,1.32
2023-07-14,000638,6.03,6.05,6.08,6.01,24381,14751434.0,1.16,0.0,0.0,0.79
2023-07-17,000638,6.02,6.13,6.17,5.95,66584,40659207.0,3.64,1.32,0.08,2.16
2023-07-18,000638,6.06,6.4,6.58,6.05,244242,154556844.36,8.65,4.4,0.27,7.91
2023-07-19,000638,6.33,6.28,6.35,6.23,126088,79232004.0,1.88,-1.88,-0.12,4.08
2023-07-20,000638,6.31,6.3,6.5,6.23,135704,86174940.0,4.3,0.32,0.02,4.39
2023-07-21,000638,6.4,6.93,6.93,6.31,297509,203684943.37,9.84,10.0,0.63,9.64
2023-07-24,000638,7.15,7.62,7.62,7.01,574619,425228746.86,8.8,9.96,0.69,18.61
2023-07-25,000638,8.38,8.38,8.38,8.38,83381,69873286.38,0.0,9.97,0.76,2.7
